SpaceID,EventTime_UTC,OccupancyState
66292,11/24/2025 04:48:04 PM,OCCUPIED
SV657,11/24/2025 08:31:29 PM,OCCUPIED
HO257,11/24/2025 03:18:00 PM,OCCUPIED
66402,11/24/2025 05:34:49 PM,OCCUPIED
CB4195,11/24/2025 07:10:30 PM,OCCUPIED
SV93,11/24/2025 07:20:02 PM,VACANT
LZ107,11/24/2025 07:24:55 PM,VACANT
LZ108,11/24/2025 04:21:52 PM,OCCUPIED
WP10,11/24/2025 08:03:40 PM,OCCUPIED
HO450A,11/24/2025 08:21:19 PM,VACANT
CB2947,11/12/2025 04:21:11 PM,OCCUPIED
HO514A,11/24/2025 06:19:55 PM,OCCUPIED
HO951,11/24/2025 07:23:25 PM,OCCUPIED
WP117,11/24/2025 07:38:11 PM,VACANT
WP77,11/24/2025 08:55:24 PM,VACANT
HO1,11/24/2025 03:50:25 PM,OCCUPIED
CB2571,11/24/2025 05:23:44 PM,OCCUPIED
WP97,11/24/2025 09:00:41 PM,VACANT
SV755,11/24/2025 08:01:57 PM,OCCUPIED
SV42,11/24/2025 08:33:17 PM,VACANT
WP146,11/24/2025 08:56:38 PM,VACANT
HO664,11/24/2025 04:06:01 PM,VACANT
CT107,11/24/2025 07:24:12 PM,OCCUPIED
SV145,11/24/2025 08:54:34 PM,OCCUPIED
HO547,11/24/2025 03:21:56 PM,UNKNOWN
SV750,11/24/2025 04:11:55 PM,VACANT
CB2545,11/24/2025 04:15:42 PM,OCCUPIED
SV630,11/24/2025 08:33:21 PM,OCCUPIED
82713,11/24/2025 09:03:55 PM,VACANT
HO663A,11/24/2025 08:00:31 PM,VACANT
HO692,11/24/2025 08:13:49 PM,VACANT
HO513A,11/23/2025 05:51:54 PM,UNKNOWN
SV742,11/24/2025 04:40:22 PM,VACANT
HO600,11/24/2025 08:47:06 PM,OCCUPIED
HO273,11/24/2025 07:25:20 PM,VACANT
SV202,11/24/2025 08:00:25 PM,OCCUPIED
61365,11/24/2025 09:06:12 PM,VACANT
82718,11/24/2025 05:09:12 PM,OCCUPIED
HO575A,11/24/2025 05:13:14 PM,OCCUPIED
WP9,11/24/2025 08:36:04 PM,OCCUPIED
66122,11/18/2025 08:13:04 PM,UNKNOWN
HO9,11/24/2025 08:53:24 PM,VACANT
SV22,11/24/2025 08:27:15 PM,VACANT
66115,11/24/2025 08:43:14 PM,OCCUPIED
SV891,11/24/2025 05:21:41 PM,VACANT
WP148,11/24/2025 09:07:31 PM,OCCUPIED
LT373A,11/20/2025 08:45:12 PM,OCCUPIED
CB102,11/24/2025 07:52:40 PM,OCCUPIED
HO62,11/24/2025 05:36:57 PM,OCCUPIED
66120,11/18/2025 07:59:23 PM,UNKNOWN
66419,11/24/2025 05:42:33 PM,OCCUPIED
61223,11/24/2025 08:34:45 PM,OCCUPIED
CB85,11/24/2025 05:51:32 PM,OCCUPIED
66468,11/24/2025 05:56:36 PM,OCCUPIED
SV482,11/16/2025 09:56:35 AM,OCCUPIED
HO631,11/24/2025 05:56:50 PM,VACANT
66414,11/24/2025 05:59:23 PM,OCCUPIED
CB3236,11/20/2025 05:34:34 PM,OCCUPIED
SV12,11/24/2025 05:59:12 PM,VACANT
CB3309,11/20/2025 05:30:28 PM,VACANT
HO931A,11/24/2025 06:00:40 PM,OCCUPIED
SV290,11/24/2025 06:04:24 PM,VACANT
CT622,11/24/2025 03:59:56 PM,OCCUPIED
CB647,11/24/2025 06:10:39 PM,OCCUPIED
66467,11/24/2025 06:10:06 PM,OCCUPIED
WV89,11/22/2025 03:18:07 PM,VACANT
HO122,11/24/2025 06:12:33 PM,OCCUPIED
WP158,11/24/2025 06:14:18 PM,OCCUPIED
HO11,11/24/2025 06:14:57 PM,OCCUPIED
HO35,11/24/2025 05:40:34 PM,UNKNOWN
HO191A,11/24/2025 03:15:06 PM,OCCUPIED
CB1955A,11/24/2025 02:28:12 PM,OCCUPIED
61456,11/24/2025 06:49:40 PM,OCCUPIED
CB1956,11/24/2025 12:48:49 PM,OCCUPIED
66436,11/24/2025 04:19:34 PM,UNKNOWN
HO508,11/24/2025 06:20:17 PM,OCCUPIED
66606,11/24/2025 06:22:00 PM,OCCUPIED
CB2050,11/23/2025 12:10:45 AM,VACANT
66207,11/24/2025 06:26:24 PM,OCCUPIED
HO559,11/18/2025 07:59:23 PM,UNKNOWN
SV39,11/24/2025 08:15:19 PM,OCCUPIED
82704,11/24/2025 06:31:35 PM,UNKNOWN
SV77,11/24/2025 06:30:02 PM,OCCUPIED
CB2052,11/21/2025 09:44:27 AM,OCCUPIED
HO507,11/24/2025 06:29:14 PM,OCCUPIED
CB843,11/21/2025 01:51:20 PM,OCCUPIED
66407,11/24/2025 06:34:10 PM,OCCUPIED
61354,11/24/2025 06:37:01 PM,OCCUPIED
CB4143,11/20/2025 12:44:56 PM,OCCUPIED
61442,11/24/2025 06:37:34 PM,OCCUPIED
SV10,11/24/2025 06:38:20 PM,VACANT
V67,11/24/2025 06:39:55 PM,OCCUPIED
HO676,11/24/2025 06:40:05 PM,VACANT
HO479,11/24/2025 06:51:13 PM,VACANT
SV11,11/24/2025 06:48:01 PM,VACANT
HO625,11/24/2025 06:51:35 PM,OCCUPIED
HO456,11/24/2025 06:48:46 PM,VACANT
82716,11/24/2025 06:48:31 PM,OCCUPIED
82710,11/24/2025 06:47:00 PM,OCCUPIED
V108,11/24/2025 03:40:28 PM,OCCUPIED
CB4108,11/24/2025 06:59:00 PM,VACANT
SV604,11/24/2025 06:54:00 PM,OCCUPIED
V206,11/24/2025 06:59:22 PM,OCCUPIED
82714,11/24/2025 06:56:27 PM,OCCUPIED
HO677,11/24/2025 07:00:43 PM,OCCUPIED
WP135,11/24/2025 07:01:26 PM,OCCUPIED
HO61,11/24/2025 07:03:14 PM,VACANT
